block,client_id,count
pooler,0,24
encoder.layer.8,0,24
encoder.layer.7,0,24
encoder.layer.9,0,23
pooler,1,24
encoder.layer.8,1,24
encoder.layer.7,1,24
encoder.layer.9,1,23
pooler,2,24
encoder.layer.8,2,24
encoder.layer.7,2,24
encoder.layer.9,2,20
encoder.layer.11,2,1
pooler,3,24
encoder.layer.8,3,24
encoder.layer.7,3,24
encoder.layer.11,3,11
encoder.layer.9,3,10
pooler,4,24
encoder.layer.8,4,24
encoder.layer.7,4,24
encoder.layer.9,4,23
