method,subgroup,n,answer_F1,support_F1,joint_F1,support_title_recall,avg_topk,budget_std
agent_bsp_memory_bandit_no_rarity_state,all,5000,0.6545575269614317,0.506,0.3318408719661002,0.7445,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,hard_query,2555,0.6052510958721388,0.3943248532289628,0.2502150860344138,0.5,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,easy_query,2445,0.7060822432940055,0.6226993865030674,0.4171389836452244,1.0,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,bandit_helped,15,0.8,0.6666666666666666,0.46666666666666673,0.6666666666666666,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,bandit_hurt,17,0.23529411764705882,0.5,0.11764705882352941,0.6470588235294118,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,answer_failed_baseline,1603,0.029422719235272777,0.5046787273861509,0.017159043750522837,0.7043044291952589,3.0,0.0
agent_bsp_memory_bandit_no_rarity_state,support_failed_baseline,980,0.6082806932296728,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_bsp_memory_bandit_reader,all,10000,0.6545575269614315,0.506,0.3318408719661001,0.7445,3.0,0.0
agent_bsp_memory_bandit_reader,hard_query,5110,0.6052510958721388,0.3943248532289628,0.2502150860344138,0.5,3.0,0.0
agent_bsp_memory_bandit_reader,easy_query,4890,0.7060822432940055,0.6226993865030674,0.41713898364522445,1.0,3.0,0.0
agent_bsp_memory_bandit_reader,bandit_helped,30,0.7999999999999999,0.6666666666666666,0.4666666666666667,0.6666666666666666,3.0,0.0
agent_bsp_memory_bandit_reader,bandit_hurt,34,0.23529411764705882,0.5,0.11764705882352941,0.6470588235294118,3.0,0.0
agent_bsp_memory_bandit_reader,answer_failed_baseline,3206,0.029422719235272777,0.5046787273861509,0.017159043750522837,0.7043044291952589,3.0,0.0
agent_bsp_memory_bandit_reader,support_failed_baseline,1960,0.6082806932296728,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_bsp_memory_bandit_retrieval,all,15000,0.6545575269614315,0.506,0.3318408719661002,0.7445,3.0,0.0
agent_bsp_memory_bandit_retrieval,hard_query,7665,0.6052510958721388,0.3943248532289628,0.2502150860344138,0.5,3.0,0.0
agent_bsp_memory_bandit_retrieval,easy_query,7335,0.7060822432940056,0.6226993865030674,0.4171389836452244,1.0,3.0,0.0
agent_bsp_memory_bandit_retrieval,bandit_helped,45,0.7999999999999998,0.6666666666666666,0.4666666666666665,0.6666666666666666,3.0,0.0
agent_bsp_memory_bandit_retrieval,bandit_hurt,51,0.23529411764705885,0.5,0.11764705882352942,0.6470588235294118,3.0,0.0
agent_bsp_memory_bandit_retrieval,answer_failed_baseline,4809,0.029422719235272777,0.5046787273861509,0.017159043750522837,0.7043044291952589,3.0,0.0
agent_bsp_memory_bandit_retrieval,support_failed_baseline,2940,0.6082806932296728,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_bsp_memory_bandit_strict,all,10000,0.6545575269614315,0.506,0.3318408719661001,0.7445,3.0,0.0
agent_bsp_memory_bandit_strict,hard_query,5110,0.6052510958721388,0.3943248532289628,0.2502150860344138,0.5,3.0,0.0
agent_bsp_memory_bandit_strict,easy_query,4890,0.7060822432940055,0.6226993865030674,0.41713898364522445,1.0,3.0,0.0
agent_bsp_memory_bandit_strict,bandit_helped,30,0.7999999999999999,0.6666666666666666,0.4666666666666667,0.6666666666666666,3.0,0.0
agent_bsp_memory_bandit_strict,bandit_hurt,34,0.23529411764705882,0.5,0.11764705882352941,0.6470588235294118,3.0,0.0
agent_bsp_memory_bandit_strict,answer_failed_baseline,3206,0.029422719235272777,0.5046787273861509,0.017159043750522837,0.7043044291952589,3.0,0.0
agent_bsp_memory_bandit_strict,support_failed_baseline,1960,0.6082806932296728,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_pm_bandit_slot,all,5000,0.6545575269614317,0.5062,0.3318408719661002,0.7445,3.0,0.0
agent_pm_bandit_slot,hard_query,2555,0.6052510958721388,0.3943248532289628,0.2502150860344138,0.5,3.0,0.0
agent_pm_bandit_slot,easy_query,2445,0.7060822432940055,0.6231083844580777,0.4171389836452244,1.0,3.0,0.0
agent_pm_bandit_slot,bandit_helped,15,0.8,0.6666666666666666,0.46666666666666673,0.6666666666666666,3.0,0.0
agent_pm_bandit_slot,bandit_hurt,17,0.23529411764705882,0.5,0.11764705882352941,0.6470588235294118,3.0,0.0
agent_pm_bandit_slot,answer_failed_baseline,1603,0.029422719235272777,0.5053025577043044,0.017159043750522837,0.7043044291952589,3.0,0.0
agent_pm_bandit_slot,support_failed_baseline,980,0.6082806932296728,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_pm_dynamic_full,all,5000,0.6545975269614317,0.5065,0.3318408719661002,0.7445,3.0,0.0
agent_pm_dynamic_full,hard_query,2555,0.6052510958721388,0.3943248532289628,0.2502150860344138,0.5,3.0,0.0
agent_pm_dynamic_full,easy_query,2445,0.7061640428850074,0.623721881390593,0.4171389836452244,1.0,3.0,0.0
agent_pm_dynamic_full,bandit_helped,15,0.8,0.6666666666666666,0.46666666666666673,0.6666666666666666,3.0,0.0
agent_pm_dynamic_full,bandit_hurt,17,0.23529411764705882,0.5,0.11764705882352941,0.6470588235294118,3.0,0.0
agent_pm_dynamic_full,answer_failed_baseline,1603,0.029422719235272777,0.5062383031815346,0.017159043750522837,0.7043044291952589,3.0,0.0
agent_pm_dynamic_full,support_failed_baseline,980,0.6084847748623259,0.002551020408163265,0.002551020408163265,0.7219387755102041,3.0,0.0
agent_pm_dynamic_no_memory,all,5000,0.6545975269614317,0.5059,0.33152087196610014,0.7443,3.0,0.0
agent_pm_dynamic_no_memory,hard_query,2557,0.6048559053395833,0.39440750879937425,0.25005848448100393,0.5,3.0,0.0
