method,n,early_recall_mean,early_recall_std,hp1_score_mean,hp1_score_std,bridge_recall_mean,avg_budget_topk
hypernet_v6,0,,,,,,
agent_rule_v7,5,0.1999999999999998,0.0,0.5034327272727274,0.009103194607725155,0.5985454545454552,3.0
agent_rule_v7_no_prior,5,0.0,0.0,0.423418181818182,0.011543584673204332,0.6036363636363642,3.0
agent_rule_v7_no_coverage,5,0.0,0.0,0.4476145454545457,0.002304272711133082,0.6349090909090915,3.0
agent_rule_v7_no_memory,5,0.1999999999999998,0.0,0.5034327272727274,0.009103194607725155,0.5985454545454552,3.0
