method,agent_profile,n,early_recall,bridge_recall,target_recall,diversity,hp1_score,avg_topk,budget_std
agent_dynamic_no_bridge_guard,v7pm_dynamic_no_bridge_guard,5,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.6399999999999999,0.5094909090909089,3.0,0.0
agent_dynamic_no_hardness,v7pm_dynamic_no_hardness,5,0.1999999999999998,0.5956363636363642,0.39781818181818157,0.48,0.49029818181818197,3.0,0.0
agent_dynamic_no_rarity,v7pm_dynamic_no_rarity,5,0.3454545454545454,0.45090909090909037,0.3981818181818179,0.6199999999999999,0.5069454545454544,3.0,0.0
agent_dynamic_slot,v7pm_dynamic_slot,5,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.6399999999999999,0.5094909090909089,3.0,0.0
agent_fixed_slot_0,v7pm_fixed_slot_0,5,0.0,0.6312727272727279,0.3156363636363639,0.5,0.4461963636363639,3.0,0.0
agent_fixed_slot_1,v7pm_fixed_slot_1,5,0.1999999999999998,0.5956363636363642,0.39781818181818157,0.48,0.49029818181818197,3.0,0.0
agent_fixed_slot_2,v7pm_fixed_slot_2,5,0.3999999999999997,0.399272727272727,0.39963636363636335,0.5599999999999999,0.4917163636363634,3.0,0.0
agent_fixed_slot_3,v7pm_fixed_slot_3,5,0.6000000000000006,0.1999999999999998,0.3999999999999997,0.5599999999999999,0.4760000000000001,3.0,0.0
