method,agent_profile,n,early_recall,bridge_recall,target_recall,diversity,hp1_score,avg_topk,budget_std
agent_pm_dynamic_full,v7pm_planning_memory_full,15,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.64,0.5094909090909089,3.0,0.0
agent_pm_dynamic_no_failure_memory,v7pm_no_failure_memory,5,0.3636363636363635,0.39199999999999974,0.3778181818181816,0.76,0.5176072727272726,3.0,0.0
agent_pm_dynamic_no_instability_penalty,v7pm_no_instability,5,0.3636363636363635,0.41745454545454513,0.39054545454545436,0.7,0.5155345454545452,3.0,0.0
agent_pm_dynamic_no_memory,v7pm_no_memory,5,0.3454545454545454,0.4021818181818178,0.37381818181818166,0.86,0.5359418181818181,3.0,0.0
agent_pm_dynamic_no_rarity_memory,v7pm_no_rarity_memory,5,0.3454545454545454,0.45090909090909037,0.3981818181818179,0.6199999999999999,0.5069454545454544,3.0,0.0
agent_pm_dynamic_no_utility_ema,v7pm_no_utility_ema,5,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.6399999999999999,0.5094909090909089,3.0,0.0
