method,agent_profile,n,early_recall,bridge_recall,target_recall,diversity,hp1_score,avg_topk,budget_std
agent_pm_bandit_slot,v7pm_bandit_slot_ucb_proxy,5,0.3636363636363635,0.42909090909090863,0.39636363636363614,0.8400000000000001,0.548072727272727,3.0,0.0
agent_pm_dynamic_full,v7pm_planning_memory_full,15,0.3636363636363635,0.4327272727272723,0.3981818181818179,0.64,0.5094909090909089,3.0,0.0
agent_rule_v7_dynamic,v7agentpm_rule_dynamic,10,0.3636363636363635,0.4363636363636359,0.3999999999999997,0.7,0.5229090909090908,3.0,0.0
