USER         PID    PPID    PGID     SID                  STARTED     ELAPSED S %CPU %MEM COMMAND
root          76       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/11]
root          77       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/11]
root          78       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/11]
root          80       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/11:0H-kblockd]
root          81       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/12]
root          82       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/12]
root          83       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/12]
root          84       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/12]
root          86       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/12:0H-kblockd]
root          87       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/13]
root          88       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/13]
root          89       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/13]
root          90       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/13]
root          92       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/13:0H]
root          93       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/14]
root          94       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/14]
root          95       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/14]
root          96       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/14]
root          98       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/14:0H]
root          99       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/15]
root         100       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/15]
root         101       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/15]
root         102       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/15]
root         104       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/15:0H-kblockd]
root         105       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/16]
root         106       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [idle_inject/16]
root         107       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [migration/16]
root         108       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [ksoftirqd/16]
root         110       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 I  0.0  0.0 [kworker/16:0H-kblockd]
root         111       2       0       0 Sun Jul 12 11:14:54 2026 31-07:52:04 S  0.0  0.0 [cpuhp/17]
